setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
27286,41325,1,Friends,Not Available,2017,Heartlake City Playground,326.0,39.99,https://images.brickset.com/sets/images/41325-1.jpg,517,428,3.0,Have fun playing at Heartlake City Playground with Mia and Sienna!,Challenging,Heartlake City Playground,3.7
27290,71019,21,Collectable Minifigures,The LEGO Ninjago Movie,2017,LEGO Minifigures - The LEGO NINJAGO Movie Series - Complete,136.0,10.88,https://images.brickset.com/sets/images/71019-21.jpg,2026,329,22.0,Bring the NINJAGO® world to life with LEGO® Minifigures!,Very Easy,THE LEGO® NINJAGO® MOVIE™,4.3
26959,70357,1,Nexo Knights,Season 4,2017,Knighton Castle,1426.0,129.99,https://images.brickset.com/sets/images/70357-1.jpg,709,589,5.0,Stand your ground and save the realm with the 2-in-1 Knighton Castle!,Challenging,Knighton Castle,2.6
26961,41318,1,Friends,Not Available,2017,Heartlake Hospital,871.0,99.99,https://images.brickset.com/sets/images/41318-1.jpg,1446,671,4.0,Look after the sick and injured people of Heartlake City!,Average,Heartlake Hospital,4.8
27015,41591,1,BrickHeadz,Marvel Super Heroes,2017,Black Widow,143.0,9.99,https://images.brickset.com/sets/images/41591-1.jpg,4595,582,4.0,Recruit your own elite agent with LEGO® BrickHeadz Black Widow!,Easy,Black Widow,4.8
27011,41586,1,BrickHeadz,DC Comics Super Heroes,2017,Batgirl,99.0,9.99,https://images.brickset.com/sets/images/41586-1.jpg,4604,515,9.0,Channel Batgirl™ with your own LEGO® BrickHeadz version!,Easy,Batgirl™,4.3
26884,70358,1,Nexo Knights,Season 3,2017,Aaron's Stone Destroyer,251.0,24.99,https://images.brickset.com/sets/images/70358-1.jpg,505,400,1.0,Protect Robot Hoodlum from The Bedrock Monster!,Average,Aaron's Stone Destroyer,5.0
26342,76078,1,Marvel Super Heroes,Comics,2017,Hulk vs. Red Hulk,375.0,59.99,https://images.brickset.com/sets/images/76078-1.jpg,2326,1314,7.0,Get ready for a clash of the Hulks!,Easy,Hulk vs. Red Hulk,3.7
26466,21130,1,Minecraft,Minifig-scale,2017,The Nether Railway,387.0,29.99,https://images.brickset.com/sets/images/21130-1.jpg,1296,503,6.0,Ride The Nether Railway!,Easy,The Nether Railway,4.7
26462,41312,1,Friends,Not Available,2017,Heartlake Sports Centre,328.0,39.99,https://images.brickset.com/sets/images/41312-1.jpg,789,415,3.0,Stay fit and healthy at the Heartlake Sports Center!,Average,Heartlake Sports Center,4.7
26463,41313,1,Friends,Summer,2017,Heartlake Summer Pool,589.0,49.99,https://images.brickset.com/sets/images/41313-1.jpg,1452,536,6.0,Enjoy swimming in the sunshine at the Heartlake Summer Pool!,Easy,Heartlake Summer Pool,4.5
