num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
6,267,4.7,"With LEGO® Dimensions™, you're gonna need a bigger imagination!",71171,Average,LEGO® DIMENSIONS™ PLAYSTATION® 4 Starter Pack,4.3,DIMENSIONS™,4,US
9,643,4.4,Launch a space mission from the Batcave!,70923,Average,The Bat-Space Shuttle,4.8,THE LEGO® BATMAN MOVIE,3.5,US
6,622,5,Fight for the Mother Box with Batman’s Knightcrawler!,76086,Average,Knightcrawler Tunnel Attack,5,DC Comics™ Super Heroes,4.8,US
5,425,3.2,Dodge Harley Quinn’s cannonball attacks!,70921,Average,Harley Quinn™ Cannonball Attack,3.2,THE LEGO® BATMAN MOVIE,2.6,US
5,406,5,Power up for battle against the Lex Luthor™ Mech!,76097,Average,Lex Luthor™ Mech Takedown,4.8,DC Comics™ Super Heroes,4.8,US
6,271,4.5,Pursue Reverse Flash™ and grab the Energy Infuser!,76098,Easy,Speed Force Freeze Pursuit,4.8,DC Comics™ Super Heroes,4.5,US
5,267,3.6,Party on with Superman™ and friends!,70919,Easy,The Justice League™ Anniversary Party,3.2,THE LEGO® BATMAN MOVIE,3.4,US
11,293,4.9,Join Batman™ in a comical food fight!,70920,Average,Egghead™ Mech Food Fight,4.7,THE LEGO® BATMAN MOVIE,4.6,US
1,151,5,Swoop in with Batman™ and take on the Joker™!,10753,Easy,The Joker™ Batcave Attack,5,Juniors,5,US
2,198,4,Bring down Captain Boomerang™ with Batman’s Bat-Dune Buggy!,70918,,The Bat-Dune Buggy,4.5,THE LEGO® BATMAN MOVIE,4,US
9,197,3.9,Protect the precious Mother Box from the evil Parademon™!,76085,Easy,Battle of Atlantis,4.2,DC Comics™ Super Heroes,3.9,US
1,199,5,Help Superman™ bust out of the Kryptonite prison!,76096,Average,Superman™ & Krypto™ Team-Up,5,DC Comics™ Super Heroes,5,US
5,143,4.6,Stand tall with LEGO® BrickHeadz Wonder Woman™!,41599,Easy,Wonder Woman™,5,BrickHeadz,5,US
3,122,2.7,Live life in the fast lane with LEGO® BrickHeadz The Flash™!,41598,Very Easy,The Flash™,4,BrickHeadz,3,US
1,135,1,Dive in with LEGO® BrickHeadz Aquaman™!,41600,Very Easy,Aquaman™,4,BrickHeadz,3,US
2,108,3.5,Get an upgrade with LEGO® BrickHeadz Cyborg™,41601,Easy,Cyborg™,5,BrickHeadz,4,US
,209,,Join the Justice League™ with LEGO® BrickHeadz™ Tactical Batman™ and Superman™!,41610,,Tactical Batman™ & Superman™,,BrickHeadz,,US
7,712,3.7,Train your skills and learn how to become a Super Hero!,41232,Average,Super Hero High School,3.9,DC Super Hero Girls,3.6,US
